Game Title;Front Page Info (Size/Version);Front Page Info (Genre/Publisher);Detail URL;ROM Format;File Size;Mirror Hoster;Redirect URL;Final Direct Link;Link Status;HTTP Code;Check Detail;Checked At
Diablo III: Eternal Collection;N/A;N/A;https://switchroms.io/diablo-iii-eternal-collection-nsp-xci-switch-rom-1/;[UPDATE] NSP ROM V2.7.7.92380;3.3 GB;Up-4ever;https://switchroms.io/diablo-iii-eternal-collection-nsp-xci-switch-rom-1/?download=8;https://www.up-4ever.net/9c3pkxxc2rrs;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Diablo III: Eternal Collection;N/A;N/A;https://switchroms.io/diablo-iii-eternal-collection-nsp-xci-switch-rom-1/;[UPDATE] NSP ROM V2.7.7.92380;3.3 GB;Megaup;https://switchroms.io/diablo-iii-eternal-collection-nsp-xci-switch-rom-1/?download=9;https://megaup.net/bde93495aa018795d8a1f6050655569b/UPDATE_-_Diablo_III_Eternal_Collection_[01001B300B9BE800][v1441792][US][switchroms.io].zip;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Diablo III: Eternal Collection;N/A;N/A;https://switchroms.io/diablo-iii-eternal-collection-nsp-xci-switch-rom-1/;[UPDATE] NSP ROM V2.7.7.92380;3.3 GB;Send.cm;https://switchroms.io/diablo-iii-eternal-collection-nsp-xci-switch-rom-1/?download=11;https://send.cm/ommzvsv9285j;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Diablo III: Eternal Collection;N/A;N/A;https://switchroms.io/diablo-iii-eternal-collection-nsp-xci-switch-rom-1/;[UPDATE] NSP ROM V2.7.7.92380;3.3 GB;Terabox;https://switchroms.io/diablo-iii-eternal-collection-nsp-xci-switch-rom-1/?download=12;https://terabox.com/s/1fRNNXCMBcbjPvmI36MQ79Q;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Diablo III: Eternal Collection;N/A;N/A;https://switchroms.io/diablo-iii-eternal-collection-nsp-xci-switch-rom-1/;DLC Unlocker v2.7.1.76692;1 MB;Up-4ever;https://switchroms.io/diablo-iii-eternal-collection-nsp-xci-switch-rom-1/?download=14;https://www.up-4ever.net/vte114d7wv3m;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Diablo III: Eternal Collection;N/A;N/A;https://switchroms.io/diablo-iii-eternal-collection-nsp-xci-switch-rom-1/;DLC Unlocker v2.7.1.76692;1 MB;File-upload;https://switchroms.io/diablo-iii-eternal-collection-nsp-xci-switch-rom-1/?download=15;https://www.file-upload.org/9fehzbpodmdl;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Diablo III: Eternal Collection;N/A;N/A;https://switchroms.io/diablo-iii-eternal-collection-nsp-xci-switch-rom-1/;DLC Unlocker v2.7.1.76692;1 MB;Send.cm;https://switchroms.io/diablo-iii-eternal-collection-nsp-xci-switch-rom-1/?download=16;https://send.cm/7ulitvm7tel3;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Diablo III: Eternal Collection;N/A;N/A;https://switchroms.io/diablo-iii-eternal-collection-nsp-xci-switch-rom-1/;DLC Unlocker v2.7.1.76692;1 MB;1fichier;https://switchroms.io/diablo-iii-eternal-collection-nsp-xci-switch-rom-1/?download=17;https://1fichier.com/?lq21ifv5xe4ugwbidbhe;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Diablo III: Eternal Collection;N/A;N/A;https://switchroms.io/diablo-iii-eternal-collection-nsp-xci-switch-rom-1/;DLC United Kingdom English Language Pack;5.0 GB;1fichier;https://switchroms.io/diablo-iii-eternal-collection-nsp-xci-switch-rom-1/?download=22;https://1fichier.com/?4o6lhyl846dytn378ycf;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
Diablo III: Eternal Collection;N/A;N/A;https://switchroms.io/diablo-iii-eternal-collection-nsp-xci-switch-rom-1/;DLC United Kingdom English Language Pack;5.0 GB;Send.cm;https://switchroms.io/diablo-iii-eternal-collection-nsp-xci-switch-rom-1/?download=23;https://send.cm/jwzu6k5hizgy;ACTIVE;200;HTTP 200, no dead markers found;2026-07-14 20:28:29
